,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
5527,C,ab,Project Management,23,medium
5528,C,ad,Engineer,19,medium
5529,B,ad,Maintenance,23,medium
5530,A,ac,Maintenance,52,low
5531,C,ae,Project Management,21,high
5532,B,ab,Maintenance,36,low
5533,A,ab,Project Management,44,low
5534,B,ac,Project Management,24,medium
5535,B,ab,Maintenance,31,medium
5536,A,aa,Project Management,30,low
5537,C,ac,Project Management,8,high
5538,C,ad,Engineer,32,medium
5539,A,ab,Maintenance,30,low
5540,C,ae,Engineer,22,high
5541,B,ad,Maintenance,32,medium
5542,A,ac,Project Management,36,low
5543,B,ad,Maintenance,32,medium
5544,A,ab,Project Management,45,low
5545,A,aa,Project Management,43,low
5546,C,ad,Project Management,15,high
5547,C,ae,Project Management,4,high
5548,A,ac,Project Management,40,low
5549,D,ae,Project Management,9,high
5550,D,ac,Project Management,14,high
5551,D,ae,Project Management,14,high
5552,A,ab,Project Management,43,low
5553,B,ab,Project Management,30,low
5554,C,ae,Project Management,15,high
5555,D,ae,Project Management,17,high
5556,A,aa,Maintenance,30,low
5557,B,ab,Project Management,23,medium
5558,C,ad,Engineer,29,medium
5559,C,ad,Project Management,17,high
5560,D,ac,Project Management,20,high
5561,B,ab,Project Management,19,medium
5562,B,ab,Maintenance,51,low
5563,B,ad,Engineer,30,medium
5564,B,ab,Engineer,30,medium
5565,B,ac,Project Management,37,low
5566,B,ac,Project Management,21,medium
5567,B,ad,Project Management,18,medium
5568,C,ad,Project Management,12,high
5569,B,aa,Project Management,30,low
5570,B,aa,Project Management,43,low
5571,A,ac,Maintenance,28,low
5572,C,ad,Maintenance,33,medium
5573,A,ac,Maintenance,30,low
5574,C,ad,Project Management,8,high
5575,A,ac,Maintenance,35,low
5576,D,ac,Project Management,17,high
5577,B,ac,Engineer,16,medium
5578,D,ae,Project Management,14,high
5579,A,ac,Maintenance,45,low
5580,B,ad,Engineer,25,medium
5581,A,aa,Project Management,47,low
5582,B,ab,Maintenance,34,medium
5583,D,ae,Engineer,18,high
5584,C,ab,Maintenance,20,medium
5585,B,ab,Engineer,15,medium
5586,B,aa,Maintenance,39,low
5587,C,ae,Engineer,19,high
5588,B,ab,Maintenance,28,low
5589,B,ab,Project Management,34,medium
5590,D,ad,Engineer,12,high
5591,C,ad,Engineer,22,high
5592,D,ac,Engineer,14,high
5593,D,ac,Engineer,10,high
5594,C,ad,Engineer,17,medium
5595,D,ac,Project Management,9,high
5596,C,ae,Engineer,21,high
5597,B,ac,Project Management,39,low
5598,A,aa,Project Management,36,low
5599,B,ac,Engineer,22,medium
5600,D,ac,Project Management,11,high
5601,A,ab,Project Management,37,low
5602,C,ad,Engineer,14,high
5603,C,ac,Project Management,27,medium
5604,C,ac,Engineer,28,medium
5605,B,ac,Maintenance,41,low
5606,D,ac,Project Management,22,high
5607,A,ab,Project Management,40,low
5608,D,ae,Project Management,21,high
5609,A,ab,Maintenance,34,low
5610,C,ad,Engineer,31,medium
5611,A,aa,Maintenance,31,low
5612,B,aa,Project Management,30,low
5613,C,ac,Engineer,23,medium
5614,B,aa,Project Management,35,low
5615,B,ac,Project Management,40,low
5616,B,aa,Maintenance,36,low
5617,B,aa,Maintenance,31,low
5618,A,aa,Maintenance,52,low
5619,B,aa,Maintenance,39,low
5620,A,ab,Maintenance,40,low
5621,B,aa,Project Management,28,low
5622,C,ad,Project Management,16,high
5623,B,ab,Project Management,30,medium
5624,C,ae,Engineer,14,high
5625,C,ad,Maintenance,25,medium
5626,A,ab,Project Management,48,low
5627,D,ac,Project Management,17,high
5628,B,ab,Engineer,30,medium
5629,C,ad,Engineer,10,high
5630,B,ac,Project Management,16,medium
5631,A,ab,Project Management,51,low
5632,B,ab,Maintenance,51,low
5633,D,ad,Engineer,12,high
5634,D,ae,Project Management,10,high
5635,D,ac,Project Management,16,high
5636,B,ab,Project Management,45,low
5637,D,ad,Engineer,7,high
5638,A,ab,Maintenance,48,low
5639,B,ac,Maintenance,33,low
5640,B,ab,Maintenance,48,low
5641,B,ac,Project Management,36,low
5642,C,ac,Project Management,12,high
5643,C,ac,Engineer,18,high
5644,B,ac,Maintenance,31,medium
5645,A,ab,Maintenance,48,low
5646,D,ac,Engineer,10,high
5647,A,aa,Maintenance,40,low
5648,C,ad,Project Management,29,medium
5649,C,ac,Project Management,15,medium
5650,C,ae,Engineer,16,high
5651,A,ac,Project Management,42,low
5652,B,ad,Engineer,15,medium
5653,C,ad,Maintenance,22,medium
5654,A,ac,Maintenance,51,low
5655,C,ad,Engineer,7,high
5656,D,ad,Project Management,10,high
5657,D,ad,Engineer,12,high
5658,B,ac,Maintenance,18,medium
5659,B,ab,Project Management,32,medium
5660,D,ad,Project Management,21,high
5661,A,ac,Project Management,49,low
5662,D,ae,Project Management,8,high
5663,A,aa,Project Management,49,low
5664,A,aa,Project Management,40,low
5665,B,ac,Maintenance,35,low
5666,C,ab,Maintenance,18,medium
5667,A,ab,Project Management,51,low
5668,A,ab,Maintenance,40,low
5669,B,ab,Maintenance,45,low
5670,C,ae,Project Management,6,high
5671,A,ab,Maintenance,48,low
5672,A,ab,Project Management,42,low
5673,A,ac,Maintenance,29,low
5674,A,ab,Maintenance,38,low
5675,A,ab,Maintenance,28,low
5676,A,ab,Maintenance,47,low
5677,C,ad,Engineer,8,high
5678,B,ac,Project Management,30,medium
5679,B,ac,Maintenance,39,low
5680,B,ac,Maintenance,35,low
5681,D,ae,Project Management,14,high
5682,B,ad,Project Management,26,medium
5683,A,aa,Project Management,44,low
5684,B,ad,Maintenance,31,medium
5685,C,ac,Engineer,17,medium
5686,B,ac,Project Management,21,medium
5687,C,ad,Project Management,10,high
5688,D,ac,Project Management,7,high
5689,C,ad,Engineer,29,medium
5690,D,ae,Project Management,19,high
5691,D,ad,Engineer,11,high
5692,C,ae,Engineer,15,high
5693,C,ac,Engineer,31,medium
5694,A,ac,Project Management,33,low
5695,C,ad,Project Management,27,medium
5696,B,ac,Project Management,51,low
5697,B,aa,Project Management,30,low
5698,C,ab,Project Management,16,medium
5699,C,ab,Maintenance,20,medium
5700,A,aa,Maintenance,31,low
5701,D,ae,Engineer,9,high
5702,D,ac,Project Management,21,high
5703,B,ac,Project Management,22,medium
5704,C,ae,Project Management,9,high
5705,B,ab,Engineer,27,medium
5706,C,ae,Project Management,12,high
5707,D,ad,Engineer,18,high
5708,C,ad,Engineer,7,high
5709,C,ab,Engineer,29,medium
5710,D,ae,Engineer,22,high
5711,C,ac,Project Management,16,high
5712,C,ac,Project Management,8,high
5713,B,aa,Project Management,51,low
5714,A,aa,Project Management,35,low
5715,B,ab,Project Management,39,low
5716,D,ad,Project Management,18,high
5717,C,ac,Project Management,8,high
5718,C,ac,Engineer,6,high
5719,B,ad,Engineer,29,medium
5720,C,ae,Engineer,14,high
5721,B,ac,Project Management,32,low
5722,C,ad,Engineer,21,high
5723,B,ac,Project Management,26,medium
5724,B,ab,Project Management,47,low
5725,D,ac,Project Management,19,high
5726,B,ab,Project Management,32,medium
5727,B,ac,Maintenance,38,low
5728,A,aa,Maintenance,35,low
5729,C,ac,Project Management,17,high
5730,B,aa,Maintenance,48,low
5731,C,ad,Maintenance,26,medium
5732,B,ab,Maintenance,31,low
5733,C,ac,Project Management,17,high
5734,C,ac,Engineer,11,high
5735,A,ac,Maintenance,51,low
5736,C,ac,Engineer,22,medium
5737,C,ab,Engineer,22,medium
5738,B,aa,Maintenance,43,low
5739,B,aa,Project Management,43,low
5740,B,ad,Project Management,16,medium
5741,C,ad,Project Management,13,high
5742,B,ad,Engineer,24,medium
5743,A,ab,Project Management,38,low
5744,C,ab,Engineer,31,medium
5745,C,ad,Project Management,8,high
5746,A,aa,Project Management,46,low
5747,A,aa,Project Management,29,low
5748,D,ad,Engineer,19,high
5749,C,ad,Project Management,20,medium
5750,C,ae,Engineer,5,high
5751,B,ac,Maintenance,33,low
5752,B,ab,Maintenance,25,medium
5753,B,ab,Engineer,15,medium
5754,A,ac,Maintenance,30,low
5755,C,ac,Project Management,11,high
5756,D,ac,Engineer,4,high
5757,A,ab,Maintenance,29,low
5758,B,ac,Engineer,33,medium
5759,C,ab,Project Management,28,medium
5760,B,ab,Engineer,23,medium
5761,B,ad,Maintenance,17,medium
5762,C,ac,Engineer,14,high
5763,B,ac,Engineer,17,medium
5764,B,ac,Engineer,20,medium
5765,A,aa,Maintenance,40,low
5766,D,ac,Project Management,18,high
5767,C,ac,Engineer,24,medium
5768,C,ad,Engineer,11,high
5769,C,ad,Engineer,27,medium
5770,A,ac,Maintenance,44,low
5771,C,ac,Engineer,25,medium
5772,C,ac,Project Management,16,medium
5773,A,ac,Project Management,48,low
5774,D,ad,Engineer,21,high
5775,B,aa,Project Management,32,low
5776,C,ac,Project Management,33,medium
5777,B,aa,Maintenance,40,low
5778,A,ac,Maintenance,33,low
5779,B,ad,Project Management,30,medium
5780,B,ac,Maintenance,17,medium
5781,B,ac,Project Management,33,medium
5782,B,aa,Maintenance,51,low
5783,C,ac,Project Management,18,high
5784,D,ae,Engineer,5,high
5785,C,ac,Project Management,15,medium
5786,D,ac,Project Management,8,high
5787,C,ac,Engineer,35,medium
5788,B,aa,Project Management,30,low
5789,A,aa,Maintenance,51,low
5790,C,ac,Project Management,12,high
5791,C,ad,Maintenance,23,medium
5792,B,ab,Maintenance,28,low
5793,D,ae,Project Management,9,high
5794,C,ad,Project Management,20,medium
5795,C,ae,Project Management,17,high
5796,A,ac,Project Management,44,low
5797,B,ac,Maintenance,32,low
5798,A,ab,Project Management,34,low
5799,B,ab,Engineer,22,medium
5800,D,ae,Engineer,19,high
5801,B,ac,Maintenance,17,medium
5802,B,ab,Project Management,32,low
5803,C,ae,Project Management,3,high
5804,B,ac,Maintenance,35,medium
5805,C,ac,Project Management,4,high
5806,A,ac,Project Management,42,low
5807,C,ac,Engineer,31,medium
5808,B,aa,Project Management,41,low
5809,B,ad,Engineer,30,medium
5810,B,aa,Maintenance,43,low
5811,B,aa,Project Management,28,low
5812,D,ac,Engineer,20,high
5813,B,ac,Maintenance,34,low
5814,C,ac,Maintenance,19,medium
5815,B,ac,Project Management,45,low
5816,B,ab,Maintenance,34,low
5817,D,ae,Engineer,16,high
5818,B,ac,Project Management,29,low
5819,B,ac,Project Management,41,low
5820,D,ad,Project Management,12,high
5821,C,ae,Project Management,4,high
5822,D,ad,Engineer,14,high
5823,D,ad,Project Management,18,high
5824,A,aa,Project Management,50,low
5825,B,ab,Project Management,27,medium
5826,B,ac,Project Management,43,low
5827,C,ad,Maintenance,24,medium
5828,D,ac,Project Management,4,high
5829,C,ad,Engineer,12,high
5830,D,ad,Engineer,17,high
5831,D,ac,Engineer,19,high
5832,C,ad,Engineer,28,medium
5833,D,ac,Engineer,22,high
5834,C,ac,Project Management,5,high
5835,D,ad,Engineer,21,high
5836,C,ae,Engineer,22,high
5837,B,ab,Maintenance,34,medium
5838,C,ad,Engineer,32,medium
5839,D,ad,Engineer,12,high
5840,D,ad,Project Management,19,high
5841,B,ab,Maintenance,28,low
5842,C,ab,Project Management,25,medium
5843,C,ac,Engineer,16,high
5844,C,ac,Engineer,10,high
5845,A,ac,Project Management,46,low
5846,C,ab,Maintenance,32,medium
5847,C,ae,Project Management,11,high
5848,B,ab,Engineer,21,medium
5849,D,ae,Project Management,4,high
5850,D,ac,Project Management,15,high
5851,D,ae,Engineer,4,high
5852,A,aa,Maintenance,36,low
5853,B,ab,Engineer,26,medium
5854,C,ab,Maintenance,26,medium
5855,B,ac,Project Management,19,medium
5856,C,ab,Engineer,34,medium
5857,B,ac,Maintenance,19,medium
5858,C,ae,Project Management,21,high
5859,B,ab,Project Management,49,low
5860,B,ab,Maintenance,19,medium
5861,A,aa,Maintenance,28,low
5862,D,ad,Engineer,15,high
5863,B,aa,Maintenance,34,low
5864,C,ad,Engineer,22,high
5865,B,ad,Project Management,22,medium
5866,D,ad,Project Management,12,high
5867,B,aa,Maintenance,48,low
5868,C,ad,Maintenance,28,medium
5869,B,aa,Maintenance,41,low
5870,C,ad,Project Management,5,high
5871,C,ac,Project Management,9,high
5872,D,ae,Engineer,14,high
5873,C,ac,Project Management,19,high
5874,C,ad,Project Management,24,medium
5875,A,ac,Maintenance,30,low
5876,B,ad,Maintenance,27,medium
5877,B,ac,Project Management,33,low
5878,A,ac,Project Management,51,low
5879,B,aa,Maintenance,29,low
5880,D,ad,Project Management,9,high
5881,C,ad,Project Management,7,high
5882,B,aa,Project Management,32,low
5883,C,ac,Project Management,14,high
5884,B,ab,Maintenance,27,medium
5885,B,aa,Project Management,32,low
5886,C,ac,Engineer,23,medium
5887,C,ab,Project Management,15,medium
5888,D,ae,Project Management,8,high
5889,D,ae,Engineer,10,high
5890,A,ab,Project Management,29,low
5891,A,ab,Project Management,31,low
5892,C,ac,Maintenance,21,medium
5893,D,ae,Project Management,10,high
5894,D,ae,Project Management,7,high
5895,B,ac,Maintenance,45,low
5896,C,ac,Project Management,21,high
5897,B,ab,Project Management,41,low
5898,D,ad,Project Management,16,high
5899,B,ac,Maintenance,44,low
5900,A,ac,Maintenance,45,low
5901,A,ac,Maintenance,41,low
5902,C,ac,Engineer,7,high
5903,B,aa,Maintenance,29,low
5904,D,ae,Engineer,6,high
5905,B,ac,Project Management,33,low
5906,A,ac,Project Management,34,low
5907,C,ac,Engineer,15,high
5908,A,aa,Project Management,41,low
5909,C,ab,Engineer,24,medium
5910,D,ac,Engineer,17,high
5911,C,ab,Project Management,21,medium
5912,C,ae,Engineer,6,high
5913,B,ac,Maintenance,30,medium
5914,C,ad,Project Management,9,high
5915,C,ad,Maintenance,34,medium
5916,C,ad,Engineer,8,high
5917,B,ad,Engineer,17,medium
5918,B,ac,Project Management,39,low
5919,B,ac,Project Management,19,medium
5920,C,ae,Project Management,8,high
5921,D,ad,Engineer,12,high
5922,B,ab,Maintenance,20,medium
5923,B,ab,Maintenance,21,medium
5924,D,ac,Project Management,9,high
5925,C,ad,Project Management,15,medium
5926,B,ab,Engineer,28,medium
5927,B,aa,Maintenance,41,low
5928,C,ac,Engineer,7,high
5929,B,ab,Project Management,49,low
5930,C,ad,Project Management,20,medium
5931,C,ad,Maintenance,32,medium
5932,C,ab,Engineer,35,medium
5933,C,ad,Engineer,20,high
5934,A,ac,Project Management,40,low
5935,B,aa,Project Management,28,low
5936,C,ae,Engineer,9,high
5937,B,ab,Project Management,22,medium
5938,B,aa,Maintenance,31,low
5939,D,ae,Project Management,9,high
5940,D,ae,Project Management,20,high
5941,B,ac,Project Management,45,low
5942,A,ab,Maintenance,28,low
5943,B,ab,Project Management,29,low
5944,B,aa,Maintenance,42,low
5945,C,ae,Engineer,18,high
5946,B,ab,Maintenance,48,low
5947,C,ac,Maintenance,15,medium
5948,C,ad,Engineer,23,medium
5949,D,ac,Project Management,12,high
5950,C,ae,Project Management,22,high
5951,D,ae,Engineer,7,high
5952,B,ad,Maintenance,29,medium
5953,C,ad,Maintenance,29,medium
5954,C,ac,Maintenance,20,medium
5955,C,ac,Engineer,7,high
5956,B,aa,Maintenance,35,low
5957,A,aa,Project Management,37,low
5958,C,ac,Engineer,11,high
5959,B,ab,Maintenance,31,medium
5960,B,ab,Maintenance,40,low
5961,A,ac,Maintenance,52,low
5962,A,ac,Maintenance,29,low
5963,D,ac,Engineer,8,high
5964,A,ac,Maintenance,32,low
5965,A,ac,Project Management,30,low
5966,A,ac,Project Management,29,low
5967,B,ab,Maintenance,35,low
5968,C,ac,Engineer,14,high
5969,A,aa,Maintenance,31,low
5970,B,ab,Maintenance,47,low
5971,B,ab,Project Management,38,low
5972,B,ad,Maintenance,24,medium
5973,B,ad,Engineer,32,medium
5974,B,ac,Maintenance,29,low
5975,C,ae,Engineer,19,high
5976,A,ab,Project Management,46,low
5977,C,ad,Maintenance,24,medium
5978,A,aa,Maintenance,47,low
5979,C,ac,Engineer,35,medium
5980,C,ae,Project Management,9,high
5981,C,ab,Project Management,24,medium
5982,C,ad,Project Management,20,medium
5983,B,ab,Maintenance,35,low
5984,C,ab,Maintenance,28,medium
5985,D,ad,Engineer,22,high
5986,C,ad,Project Management,16,medium
5987,C,ae,Engineer,11,high
5988,B,ac,Project Management,37,low
5989,B,ac,Maintenance,29,low
5990,C,ad,Engineer,34,medium
5991,B,ad,Project Management,15,medium
5992,C,ac,Engineer,4,high
5993,C,ab,Project Management,17,medium
5994,B,ad,Engineer,22,medium
5995,C,ab,Maintenance,24,medium
5996,B,ab,Engineer,17,medium
5997,C,ad,Project Management,18,high
5998,B,ac,Project Management,42,low
5999,C,ab,Maintenance,19,medium
6000,C,ad,Maintenance,17,medium
6001,D,ad,Engineer,3,high
6002,D,ac,Engineer,22,high
6003,A,ac,Maintenance,32,low
6004,B,ac,Project Management,29,low
6005,B,ac,Engineer,32,medium
6006,C,ad,Project Management,8,high
6007,B,ac,Project Management,35,medium
6008,B,ab,Project Management,43,low
6009,A,ac,Project Management,46,low
6010,B,ab,Engineer,26,medium
6011,C,ad,Project Management,12,high
6012,B,ac,Maintenance,42,low
6013,B,ac,Project Management,48,low
6014,C,ac,Project Management,17,medium
6015,B,ab,Project Management,52,low
6016,B,ac,Engineer,29,medium
6017,C,ad,Project Management,10,high
6018,B,aa,Maintenance,36,low
6019,C,ad,Project Management,11,high
6020,C,ac,Engineer,15,medium
6021,D,ac,Engineer,12,high
6022,A,ac,Maintenance,41,low
6023,D,ad,Engineer,11,high
6024,C,ac,Project Management,22,medium
6025,B,ac,Project Management,47,low
6026,C,ac,Engineer,21,high
6027,A,ab,Maintenance,43,low
6028,A,aa,Project Management,42,low
6029,B,ab,Project Management,40,low
6030,D,ac,Project Management,4,high
6031,D,ad,Project Management,3,high
6032,C,ad,Maintenance,15,medium
6033,A,ab,Project Management,51,low
6034,B,ac,Maintenance,18,medium
6035,D,ac,Engineer,13,high
6036,B,ab,Engineer,16,medium
6037,B,ac,Project Management,48,low
6038,D,ad,Project Management,6,high
6039,A,aa,Project Management,52,low
6040,B,ab,Maintenance,44,low
6041,A,ac,Project Management,50,low
6042,B,aa,Project Management,38,low
6043,C,ac,Maintenance,20,medium
6044,D,ad,Engineer,18,high
6045,B,ab,Engineer,17,medium
6046,B,aa,Maintenance,45,low
6047,B,ab,Project Management,25,medium
6048,D,ae,Project Management,4,high
6049,C,ad,Engineer,28,medium
6050,B,ac,Project Management,17,medium
6051,C,ac,Engineer,35,medium
6052,D,ac,Project Management,20,high
6053,B,ab,Maintenance,18,medium
6054,B,ac,Maintenance,40,low
6055,D,ad,Project Management,20,high
6056,A,ab,Maintenance,36,low
6057,A,ab,Project Management,38,low
6058,B,ad,Engineer,21,medium
6059,C,ae,Project Management,3,high
6060,B,aa,Project Management,37,low
6061,B,ac,Project Management,40,low
6062,C,ad,Project Management,16,high
6063,B,ac,Engineer,29,medium
6064,C,ad,Project Management,20,high
6065,C,ad,Maintenance,29,medium
6066,C,ad,Engineer,21,high
6067,C,ab,Engineer,16,medium
6068,C,ad,Engineer,17,high
6069,D,ac,Engineer,5,high
6070,B,ad,Project Management,33,medium
6071,C,ae,Project Management,21,high
6072,A,ac,Maintenance,39,low
6073,B,ac,Engineer,23,medium
6074,A,aa,Maintenance,46,low
6075,C,ae,Project Management,19,high
6076,C,ab,Project Management,24,medium
6077,A,ac,Maintenance,35,low
6078,A,aa,Maintenance,46,low
6079,A,ac,Maintenance,47,low
6080,B,ad,Project Management,22,medium
6081,A,ab,Project Management,29,low
6082,C,ad,Project Management,7,high
6083,B,ad,Maintenance,18,medium
6084,D,ac,Engineer,21,high
6085,C,ae,Project Management,10,high
6086,D,ad,Engineer,12,high
6087,B,ab,Maintenance,39,low
6088,B,aa,Project Management,34,low
6089,A,ab,Maintenance,40,low
6090,B,ad,Engineer,35,medium
6091,C,ac,Engineer,16,high
6092,C,ac,Engineer,14,high
6093,B,ad,Engineer,25,medium
6094,C,ae,Engineer,19,high
6095,C,ae,Project Management,10,high
6096,C,ab,Project Management,35,medium
6097,C,ac,Project Management,30,medium
6098,B,ab,Project Management,33,medium
6099,C,ae,Engineer,5,high
6100,C,ae,Project Management,12,high
6101,B,ab,Maintenance,22,medium
6102,A,ab,Maintenance,39,low
6103,B,ac,Project Management,36,low
6104,C,ae,Engineer,8,high
6105,D,ae,Engineer,17,high
6106,C,ac,Engineer,14,high
6107,C,ac,Project Management,19,high
6108,D,ad,Project Management,10,high
6109,C,ac,Project Management,21,medium
6110,D,ac,Project Management,11,high
6111,B,ad,Maintenance,16,medium
6112,C,ad,Engineer,34,medium
6113,B,ab,Project Management,45,low
6114,B,ab,Maintenance,16,medium
6115,A,ab,Maintenance,39,low
6116,C,ad,Project Management,20,high
6117,C,ac,Engineer,31,medium
6118,B,ac,Engineer,16,medium
